"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"7582-06","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20151896","0-1-48",0.25,0.25,0.06,0.12,0.5,0.5
"2012215474","0-10-14",0.06,0.03,0.06,0.12,0.5,0.5
"2014202569","0-10-14",0.06,0.03,0.06,0.12,0.5,0.5
"2013208482","0-10-14",0.12,0.06,0.06,0.25,0.5,0.5
"6143-05","0-10-14",0.03,0.03,0.06,0.12,0.5,0.5
"2013201623","0-10-14",0.12,0.03,0.06,0.06,0.5,0.5
"20154862","0-10-14",0.06,0.03,0.06,0.12,0.5,0.5
"20152709","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153466","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152663","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153212","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152892","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009213982","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152267","0-10-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012220414","0-2-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013219512","0-2-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009215909","0-20-11",0.12,0.06,0.06,0.06,0.5,0.5
"2013222836","0-24-29",0.06,0.12,0.06,0.06,0.5,0.5
"2010203397","0-26-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010200675","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010204328","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2009216712","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2010205280","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2010208343","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009212155","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010225299","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2013212897","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"20154253","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2009211248","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2012219828","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2012219806","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"8474-06","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2013211396","0-29-11",0.25,0.12,0.06,0.06,0.5,0.5
"2009214056","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"3491-08","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"20153241","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2009208021","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2010205421","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2010223246","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2008227157","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009216746","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"8445-06","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009215605","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"3869-05","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009216788","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009215659","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2009215701","0-29-11",0.12,0.03,0.06,0.06,0.5,0.5
"8922-06","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2009217662","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010216179","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"2010216229","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010209984","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010200772","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"7618-04","0-29-11",0.12,0.06,0.06,0.06,0.5,0.5
"6103-03","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"20152257","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2009214110","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2012214024","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010200609","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2009217663","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2010216214","0-29-11",0.25,0.12,0.06,0.06,0.5,0.5
"6466-07","0-29-11",0.06,0.12,0.06,0.06,0.5,0.5
"5784-05","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2013206212","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2009208549","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2008008293","0-29-11",0.06,0.06,0.06,0.06,0.5,0.5
"2010206338","0-29-11",0.12,0.12,0.06,0.06,0.5,0.5
"2013211710","0-39-80",0.25,0.25,0.12,0.25,0.5,0.5
"4547-05","0-4-0",0.03,0.03,0.06,0.06,0.5,0.5
"2010208344","0-4-0",0.03,0.03,0.06,0.06,0.5,0.5
"20152725","0-4-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009218402","0-40-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010206274","0-40-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202157","0-6-10",0.03,0.03,0.06,0.06,0.5,0.5
"20153399","0-6-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013215771","0-6-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152808","0-6-2",0.03,0.03,0.06,0.06,0.5,0.5
